ID,Group,Treatment,Replicate,Pairing date,Pair ID,Day egg laid,Date egg laid,Date of measure,Devt time,males,females,Total,Comments
F-F-1-28,F-F-1,F-F,1,01-Feb-24,28,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-29,F-F-1,F-F,1,01-Feb-24,29,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-30,F-F-1,F-F,1,01-Feb-24,30,0,01-Feb-24,21-Feb-24,20,5,2,7,NA
F-F-1-31,F-F-1,F-F,1,01-Feb-24,31,0,01-Feb-24,21-Feb-24,20,2,0,2,NA
F-F-1-32,F-F-1,F-F,1,01-Feb-24,32,0,01-Feb-24,21-Feb-24,20,3,1,4,NA
F-F-1-33,F-F-1,F-F,1,01-Feb-24,33,0,01-Feb-24,21-Feb-24,20,0,1,1,NA
F-F-1-34,F-F-1,F-F,1,01-Feb-24,34,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-35,F-F-1,F-F,1,01-Feb-24,35,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-36,F-F-1,F-F,1,01-Feb-24,36,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-37,F-F-1,F-F,1,01-Feb-24,37,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-38,F-F-1,F-F,1,01-Feb-24,38,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-39,F-F-1,F-F,1,01-Feb-24,39,0,01-Feb-24,21-Feb-24,20,6,2,8,NA
F-F-1-40,F-F-1,F-F,1,01-Feb-24,40,0,01-Feb-24,21-Feb-24,20,3,4,7,NA
F-F-1-41,F-F-1,F-F,1,01-Feb-24,41,0,01-Feb-24,21-Feb-24,20,0,1,1,NA
F-F-1-42,F-F-1,F-F,1,01-Feb-24,42,0,01-Feb-24,21-Feb-24,20,0,0,0,Just one fertilized bean
F-F-1-43,F-F-1,F-F,1,01-Feb-24,43,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-44,F-F-1,F-F,1,01-Feb-24,44,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-45,F-F-1,F-F,1,01-Feb-24,45,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-46,F-F-1,F-F,1,01-Feb-24,46,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-47,F-F-1,F-F,1,01-Feb-24,47,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-48,F-F-1,F-F,1,01-Feb-24,48,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-49,F-F-1,F-F,1,01-Feb-24,49,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-50,F-F-1,F-F,1,01-Feb-24,50,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-1,F-F-1,F-F,1,01-Feb-24,1,0,01-Feb-24,22-Feb-24,21,10,12,22,NA
F-F-1-2,F-F-1,F-F,1,01-Feb-24,2,0,01-Feb-24,22-Feb-24,21,7,3,10,NA
F-F-1-3,F-F-1,F-F,1,01-Feb-24,3,0,01-Feb-24,22-Feb-24,21,5,8,13,NA
F-F-1-4,F-F-1,F-F,1,01-Feb-24,4,0,01-Feb-24,22-Feb-24,21,4,8,12,NA
F-F-1-5,F-F-1,F-F,1,01-Feb-24,5,0,01-Feb-24,22-Feb-24,21,8,2,10,NA
F-F-1-6,F-F-1,F-F,1,01-Feb-24,6,0,01-Feb-24,22-Feb-24,21,15,11,26,NA
F-F-1-7,F-F-1,F-F,1,01-Feb-24,7,0,01-Feb-24,22-Feb-24,21,3,8,11,NA
F-F-1-8,F-F-1,F-F,1,01-Feb-24,8,0,01-Feb-24,22-Feb-24,21,6,2,8,NA
F-F-1-9,F-F-1,F-F,1,01-Feb-24,9,0,01-Feb-24,22-Feb-24,21,13,4,17,NA
F-F-1-10,F-F-1,F-F,1,01-Feb-24,10,0,01-Feb-24,22-Feb-24,21,6,5,11,NA
F-F-1-11,F-F-1,F-F,1,01-Feb-24,11,0,01-Feb-24,22-Feb-24,21,6,11,17,NA
F-F-1-12,F-F-1,F-F,1,01-Feb-24,12,0,01-Feb-24,22-Feb-24,21,4,3,7,NA
F-F-1-13,F-F-1,F-F,1,01-Feb-24,13,0,01-Feb-24,22-Feb-24,21,5,8,13,NA
F-F-1-14,F-F-1,F-F,1,01-Feb-24,14,0,01-Feb-24,22-Feb-24,21,4,6,10,NA
F-F-1-15,F-F-1,F-F,1,01-Feb-24,15,0,01-Feb-24,22-Feb-24,21,5,7,12,NA
F-F-1-16,F-F-1,F-F,1,01-Feb-24,16,0,01-Feb-24,22-Feb-24,21,7,10,17,NA
F-F-1-17,F-F-1,F-F,1,01-Feb-24,17,0,01-Feb-24,22-Feb-24,21,1,1,2,NA
F-F-1-18,F-F-1,F-F,1,01-Feb-24,18,0,01-Feb-24,22-Feb-24,21,3,0,3,NA
F-F-1-19,F-F-1,F-F,1,01-Feb-24,19,0,01-Feb-24,22-Feb-24,21,11,3,14,NA
F-F-1-20,F-F-1,F-F,1,01-Feb-24,20,0,01-Feb-24,22-Feb-24,21,5,7,12,NA
F-F-1-21,F-F-1,F-F,1,01-Feb-24,21,0,01-Feb-24,22-Feb-24,21,9,11,20,NA
F-F-1-22,F-F-1,F-F,1,01-Feb-24,22,0,01-Feb-24,22-Feb-24,21,7,7,14,NA
F-F-1-23,F-F-1,F-F,1,01-Feb-24,23,0,01-Feb-24,22-Feb-24,21,5,6,11,NA
F-F-1-24,F-F-1,F-F,1,01-Feb-24,24,0,01-Feb-24,22-Feb-24,21,6,3,9,NA
F-F-1-25,F-F-1,F-F,1,01-Feb-24,25,0,01-Feb-24,22-Feb-24,21,5,5,10,NA
F-F-1-26,F-F-1,F-F,1,01-Feb-24,26,0,01-Feb-24,22-Feb-24,21,11,10,21,NA
F-F-1-27,F-F-1,F-F,1,01-Feb-24,27,0,01-Feb-24,22-Feb-24,21,13,4,17,NA
F-F-1-28,F-F-1,F-F,1,01-Feb-24,28,0,01-Feb-24,22-Feb-24,21,5,5,10,NA
F-F-1-29,F-F-1,F-F,1,01-Feb-24,29,0,01-Feb-24,22-Feb-24,21,6,6,12,NA
F-F-1-30,F-F-1,F-F,1,01-Feb-24,30,0,01-Feb-24,22-Feb-24,21,11,13,24,NA
F-F-1-31,F-F-1,F-F,1,01-Feb-24,31,0,01-Feb-24,22-Feb-24,21,6,4,10,NA
F-F-1-32,F-F-1,F-F,1,01-Feb-24,32,0,01-Feb-24,22-Feb-24,21,10,5,15,NA
F-F-1-33,F-F-1,F-F,1,01-Feb-24,33,0,01-Feb-24,22-Feb-24,21,6,13,19,NA
F-F-1-34,F-F-1,F-F,1,01-Feb-24,34,0,01-Feb-24,22-Feb-24,21,5,3,8,NA
F-F-1-35,F-F-1,F-F,1,01-Feb-24,35,0,01-Feb-24,22-Feb-24,21,12,13,25,NA
F-F-1-36,F-F-1,F-F,1,01-Feb-24,36,0,01-Feb-24,22-Feb-24,21,6,11,17,NA
F-F-1-37,F-F-1,F-F,1,01-Feb-24,37,0,01-Feb-24,22-Feb-24,21,8,4,12,NA
F-F-1-38,F-F-1,F-F,1,01-Feb-24,38,0,01-Feb-24,22-Feb-24,21,7,3,10,NA
F-F-1-39,F-F-1,F-F,1,01-Feb-24,39,0,01-Feb-24,22-Feb-24,21,6,10,16,NA
F-F-1-40,F-F-1,F-F,1,01-Feb-24,40,0,01-Feb-24,22-Feb-24,21,7,16,23,NA
F-F-1-41,F-F-1,F-F,1,01-Feb-24,41,0,01-Feb-24,22-Feb-24,21,13,6,19,NA
F-F-1-42,F-F-1,F-F,1,01-Feb-24,42,0,01-Feb-24,22-Feb-24,21,0,0,0,NA
F-F-1-43,F-F-1,F-F,1,01-Feb-24,43,0,01-Feb-24,22-Feb-24,21,6,3,9,NA
F-F-1-44,F-F-1,F-F,1,01-Feb-24,44,0,01-Feb-24,22-Feb-24,21,13,3,16,NA
F-F-1-45,F-F-1,F-F,1,01-Feb-24,45,0,01-Feb-24,22-Feb-24,21,6,8,14,NA
F-F-1-46,F-F-1,F-F,1,01-Feb-24,46,0,01-Feb-24,22-Feb-24,21,7,3,10,NA
F-F-1-47,F-F-1,F-F,1,01-Feb-24,47,0,01-Feb-24,22-Feb-24,21,8,14,22,NA
F-F-1-48,F-F-1,F-F,1,01-Feb-24,48,0,01-Feb-24,22-Feb-24,21,9,9,18,NA
F-F-1-49,F-F-1,F-F,1,01-Feb-24,49,0,01-Feb-24,22-Feb-24,21,8,9,17,NA
F-F-1-50,F-F-1,F-F,1,01-Feb-24,50,0,01-Feb-24,22-Feb-24,21,4,1,5,NA
F-F-1-1,F-F-1,F-F,1,01-Feb-24,1,0,01-Feb-24,23-Feb-24,22,4,5,9,NA
F-F-1-2,F-F-1,F-F,1,01-Feb-24,2,0,01-Feb-24,23-Feb-24,22,6,2,8,NA
F-F-1-3,F-F-1,F-F,1,01-Feb-24,3,0,01-Feb-24,23-Feb-24,22,5,9,14,NA
F-F-1-4,F-F-1,F-F,1,01-Feb-24,4,0,01-Feb-24,23-Feb-24,22,7,5,12,NA
F-F-1-5,F-F-1,F-F,1,01-Feb-24,5,0,01-Feb-24,23-Feb-24,22,6,10,16,NA
F-F-1-6,F-F-1,F-F,1,01-Feb-24,6,0,01-Feb-24,23-Feb-24,22,1,2,3,NA
F-F-1-7,F-F-1,F-F,1,01-Feb-24,7,0,01-Feb-24,23-Feb-24,22,1,1,2,NA
F-F-1-8,F-F-1,F-F,1,01-Feb-24,8,0,01-Feb-24,23-Feb-24,22,7,8,15,NA
F-F-1-9,F-F-1,F-F,1,01-Feb-24,9,0,01-Feb-24,23-Feb-24,22,1,3,4,NA
F-F-1-10,F-F-1,F-F,1,01-Feb-24,10,0,01-Feb-24,23-Feb-24,22,3,5,8,NA
F-F-1-11,F-F-1,F-F,1,01-Feb-24,11,0,01-Feb-24,23-Feb-24,22,6,7,13,NA
F-F-1-12,F-F-1,F-F,1,01-Feb-24,12,0,01-Feb-24,23-Feb-24,22,2,3,5,NA
F-F-1-13,F-F-1,F-F,1,01-Feb-24,13,0,01-Feb-24,23-Feb-24,22,7,2,9,NA
F-F-1-14,F-F-1,F-F,1,01-Feb-24,14,0,01-Feb-24,23-Feb-24,22,8,4,12,NA
F-F-1-15,F-F-1,F-F,1,01-Feb-24,15,0,01-Feb-24,23-Feb-24,22,6,9,15,NA
F-F-1-16,F-F-1,F-F,1,01-Feb-24,16,0,01-Feb-24,23-Feb-24,22,1,1,2,NA
F-F-1-17,F-F-1,F-F,1,01-Feb-24,17,0,01-Feb-24,23-Feb-24,22,0,0,0,NA
F-F-1-18,F-F-1,F-F,1,01-Feb-24,18,0,01-Feb-24,23-Feb-24,22,3,2,5,NA
F-F-1-19,F-F-1,F-F,1,01-Feb-24,19,0,01-Feb-24,23-Feb-24,22,6,8,14,NA
F-F-1-20,F-F-1,F-F,1,01-Feb-24,20,0,01-Feb-24,23-Feb-24,22,8,4,12,NA
F-F-1-21,F-F-1,F-F,1,01-Feb-24,21,0,01-Feb-24,23-Feb-24,22,6,4,10,NA
F-F-1-22,F-F-1,F-F,1,01-Feb-24,22,0,01-Feb-24,23-Feb-24,22,2,8,10,NA
F-F-1-23,F-F-1,F-F,1,01-Feb-24,23,0,01-Feb-24,23-Feb-24,22,3,8,11,NA
F-F-1-24,F-F-1,F-F,1,01-Feb-24,24,0,01-Feb-24,23-Feb-24,22,4,2,6,NA
F-F-1-25,F-F-1,F-F,1,01-Feb-24,25,0,01-Feb-24,23-Feb-24,22,0,6,6,NA
F-F-1-26,F-F-1,F-F,1,01-Feb-24,26,0,01-Feb-24,23-Feb-24,22,5,5,10,NA
F-F-1-27,F-F-1,F-F,1,01-Feb-24,27,0,01-Feb-24,23-Feb-24,22,7,2,9,NA
F-F-1-28,F-F-1,F-F,1,01-Feb-24,28,0,01-Feb-24,23-Feb-24,22,6,1,7,NA
F-F-1-29,F-F-1,F-F,1,01-Feb-24,29,0,01-Feb-24,23-Feb-24,22,1,3,4,NA
F-F-1-30,F-F-1,F-F,1,01-Feb-24,30,0,01-Feb-24,23-Feb-24,22,1,6,7,NA
F-F-1-31,F-F-1,F-F,1,01-Feb-24,31,0,01-Feb-24,23-Feb-24,22,0,2,2,NA
F-F-1-32,F-F-1,F-F,1,01-Feb-24,32,0,01-Feb-24,23-Feb-24,22,3,4,7,NA
F-F-1-33,F-F-1,F-F,1,01-Feb-24,33,0,01-Feb-24,23-Feb-24,22,5,7,12,NA
F-F-1-34,F-F-1,F-F,1,01-Feb-24,34,0,01-Feb-24,23-Feb-24,22,3,4,7,NA
F-F-1-35,F-F-1,F-F,1,01-Feb-24,35,0,01-Feb-24,23-Feb-24,22,3,0,3,NA
F-F-1-36,F-F-1,F-F,1,01-Feb-24,36,0,01-Feb-24,23-Feb-24,22,6,4,10,NA
F-F-1-37,F-F-1,F-F,1,01-Feb-24,37,0,01-Feb-24,23-Feb-24,22,9,9,18,NA
F-F-1-38,F-F-1,F-F,1,01-Feb-24,38,0,01-Feb-24,23-Feb-24,22,4,9,13,NA
F-F-1-39,F-F-1,F-F,1,01-Feb-24,39,0,01-Feb-24,23-Feb-24,22,3,6,9,NA
F-F-1-40,F-F-1,F-F,1,01-Feb-24,40,0,01-Feb-24,23-Feb-24,22,2,1,3,NA
F-F-1-41,F-F-1,F-F,1,01-Feb-24,41,0,01-Feb-24,23-Feb-24,22,5,5,10,NA
F-F-1-42,F-F-1,F-F,1,01-Feb-24,42,0,01-Feb-24,23-Feb-24,22,1,0,1,NA
F-F-1-43,F-F-1,F-F,1,01-Feb-24,43,0,01-Feb-24,23-Feb-24,22,2,4,6,NA
F-F-1-44,F-F-1,F-F,1,01-Feb-24,44,0,01-Feb-24,23-Feb-24,22,2,7,9,NA
F-F-1-45,F-F-1,F-F,1,01-Feb-24,45,0,01-Feb-24,23-Feb-24,22,2,9,11,NA
F-F-1-46,F-F-1,F-F,1,01-Feb-24,46,0,01-Feb-24,23-Feb-24,22,6,2,8,NA
F-F-1-47,F-F-1,F-F,1,01-Feb-24,47,0,01-Feb-24,23-Feb-24,22,4,2,6,NA
F-F-1-48,F-F-1,F-F,1,01-Feb-24,48,0,01-Feb-24,23-Feb-24,22,1,6,7,NA
F-F-1-49,F-F-1,F-F,1,01-Feb-24,49,0,01-Feb-24,23-Feb-24,22,5,4,9,NA
F-F-1-50,F-F-1,F-F,1,01-Feb-24,50,0,01-Feb-24,23-Feb-24,22,2,4,6,NA
F-F-1-1,F-F-1,F-F,1,01-Feb-24,1,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-2,F-F-1,F-F,1,01-Feb-24,2,0,01-Feb-24,24-Feb-24,23,3,1,4,NA
F-F-1-3,F-F-1,F-F,1,01-Feb-24,3,0,01-Feb-24,24-Feb-24,23,4,4,8,NA
F-F-1-4,F-F-1,F-F,1,01-Feb-24,4,0,01-Feb-24,24-Feb-24,23,0,3,3,NA
F-F-1-5,F-F-1,F-F,1,01-Feb-24,5,0,01-Feb-24,24-Feb-24,23,1,1,2,NA
F-F-1-6,F-F-1,F-F,1,01-Feb-24,6,0,01-Feb-24,24-Feb-24,23,2,0,2,NA
F-F-1-7,F-F-1,F-F,1,01-Feb-24,7,0,01-Feb-24,24-Feb-24,23,2,0,2,NA
F-F-1-8,F-F-1,F-F,1,01-Feb-24,8,0,01-Feb-24,24-Feb-24,23,2,1,3,NA
F-F-1-9,F-F-1,F-F,1,01-Feb-24,9,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-10,F-F-1,F-F,1,01-Feb-24,10,0,01-Feb-24,24-Feb-24,23,1,0,1,NA
F-F-1-11,F-F-1,F-F,1,01-Feb-24,11,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-12,F-F-1,F-F,1,01-Feb-24,12,0,01-Feb-24,24-Feb-24,23,1,0,1,NA
F-F-1-13,F-F-1,F-F,1,01-Feb-24,13,0,01-Feb-24,24-Feb-24,23,1,1,2,NA
F-F-1-14,F-F-1,F-F,1,01-Feb-24,14,0,01-Feb-24,24-Feb-24,23,6,2,8,NA
F-F-1-15,F-F-1,F-F,1,01-Feb-24,15,0,01-Feb-24,24-Feb-24,23,0,3,3,NA
F-F-1-16,F-F-1,F-F,1,01-Feb-24,16,0,01-Feb-24,24-Feb-24,23,2,0,2,NA
F-F-1-17,F-F-1,F-F,1,01-Feb-24,17,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-18,F-F-1,F-F,1,01-Feb-24,18,0,01-Feb-24,24-Feb-24,23,1,0,1,NA
F-F-1-19,F-F-1,F-F,1,01-Feb-24,19,0,01-Feb-24,24-Feb-24,23,4,3,7,NA
F-F-1-20,F-F-1,F-F,1,01-Feb-24,20,0,01-Feb-24,24-Feb-24,23,0,2,2,NA
F-F-1-21,F-F-1,F-F,1,01-Feb-24,21,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-22,F-F-1,F-F,1,01-Feb-24,22,0,01-Feb-24,24-Feb-24,23,1,2,3,NA
F-F-1-23,F-F-1,F-F,1,01-Feb-24,23,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-24,F-F-1,F-F,1,01-Feb-24,24,0,01-Feb-24,24-Feb-24,23,1,3,4,NA
F-F-1-25,F-F-1,F-F,1,01-Feb-24,25,0,01-Feb-24,24-Feb-24,23,0,2,2,NA
F-F-1-26,F-F-1,F-F,1,01-Feb-24,26,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-27,F-F-1,F-F,1,01-Feb-24,27,0,01-Feb-24,24-Feb-24,23,1,4,5,NA
F-F-1-28,F-F-1,F-F,1,01-Feb-24,28,0,01-Feb-24,24-Feb-24,23,1,1,2,NA
F-F-1-29,F-F-1,F-F,1,01-Feb-24,29,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-30,F-F-1,F-F,1,01-Feb-24,30,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-31,F-F-1,F-F,1,01-Feb-24,31,0,01-Feb-24,24-Feb-24,23,1,1,2,NA
F-F-1-32,F-F-1,F-F,1,01-Feb-24,32,0,01-Feb-24,24-Feb-24,23,0,2,2,NA
F-F-1-33,F-F-1,F-F,1,01-Feb-24,33,0,01-Feb-24,24-Feb-24,23,1,0,1,NA
F-F-1-34,F-F-1,F-F,1,01-Feb-24,34,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-35,F-F-1,F-F,1,01-Feb-24,35,0,01-Feb-24,24-Feb-24,23,1,1,2,NA
F-F-1-36,F-F-1,F-F,1,01-Feb-24,36,0,01-Feb-24,24-Feb-24,23,6,3,9,NA
F-F-1-37,F-F-1,F-F,1,01-Feb-24,37,0,01-Feb-24,24-Feb-24,23,1,3,4,NA
F-F-1-38,F-F-1,F-F,1,01-Feb-24,38,0,01-Feb-24,24-Feb-24,23,1,0,1,NA
F-F-1-39,F-F-1,F-F,1,01-Feb-24,39,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-40,F-F-1,F-F,1,01-Feb-24,40,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-41,F-F-1,F-F,1,01-Feb-24,41,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-42,F-F-1,F-F,1,01-Feb-24,42,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-43,F-F-1,F-F,1,01-Feb-24,43,0,01-Feb-24,24-Feb-24,23,0,0,0,NA
F-F-1-44,F-F-1,F-F,1,01-Feb-24,44,0,01-Feb-24,24-Feb-24,23,0,2,2,NA
F-F-1-45,F-F-1,F-F,1,01-Feb-24,45,0,01-Feb-24,24-Feb-24,23,3,2,5,NA
F-F-1-46,F-F-1,F-F,1,01-Feb-24,46,0,01-Feb-24,24-Feb-24,23,3,3,6,NA
F-F-1-47,F-F-1,F-F,1,01-Feb-24,47,0,01-Feb-24,24-Feb-24,23,3,0,3,NA
F-F-1-48,F-F-1,F-F,1,01-Feb-24,48,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-49,F-F-1,F-F,1,01-Feb-24,49,0,01-Feb-24,24-Feb-24,23,0,1,1,NA
F-F-1-50,F-F-1,F-F,1,01-Feb-24,50,0,01-Feb-24,24-Feb-24,23,0,2,2,NA
F-F-1-1,F-F-1,F-F,1,01-Feb-24,1,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-2,F-F-1,F-F,1,01-Feb-24,2,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-3,F-F-1,F-F,1,01-Feb-24,3,0,01-Feb-24,25-Feb-24,24,0,1,1,NA
F-F-1-4,F-F-1,F-F,1,01-Feb-24,4,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-5,F-F-1,F-F,1,01-Feb-24,5,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-6,F-F-1,F-F,1,01-Feb-24,6,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-7,F-F-1,F-F,1,01-Feb-24,7,0,01-Feb-24,25-Feb-24,24,1,0,1,NA
F-F-1-8,F-F-1,F-F,1,01-Feb-24,8,0,01-Feb-24,25-Feb-24,24,1,0,1,NA
F-F-1-9,F-F-1,F-F,1,01-Feb-24,9,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-10,F-F-1,F-F,1,01-Feb-24,10,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-11,F-F-1,F-F,1,01-Feb-24,11,0,01-Feb-24,25-Feb-24,24,2,0,2,NA
F-F-1-12,F-F-1,F-F,1,01-Feb-24,12,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-13,F-F-1,F-F,1,01-Feb-24,13,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-14,F-F-1,F-F,1,01-Feb-24,14,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-15,F-F-1,F-F,1,01-Feb-24,15,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-16,F-F-1,F-F,1,01-Feb-24,16,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-17,F-F-1,F-F,1,01-Feb-24,17,0,01-Feb-24,25-Feb-24,24,1,1,2,NA
F-F-1-18,F-F-1,F-F,1,01-Feb-24,18,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-19,F-F-1,F-F,1,01-Feb-24,19,0,01-Feb-24,25-Feb-24,24,1,0,1,NA
F-F-1-20,F-F-1,F-F,1,01-Feb-24,20,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-21,F-F-1,F-F,1,01-Feb-24,21,0,01-Feb-24,25-Feb-24,24,0,1,1,NA
F-F-1-22,F-F-1,F-F,1,01-Feb-24,22,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-23,F-F-1,F-F,1,01-Feb-24,23,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-24,F-F-1,F-F,1,01-Feb-24,24,0,01-Feb-24,25-Feb-24,24,1,1,2,NA
F-F-1-25,F-F-1,F-F,1,01-Feb-24,25,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-26,F-F-1,F-F,1,01-Feb-24,26,0,01-Feb-24,25-Feb-24,24,1,3,4,NA
F-F-1-27,F-F-1,F-F,1,01-Feb-24,27,0,01-Feb-24,25-Feb-24,24,0,1,1,NA
F-F-1-28,F-F-1,F-F,1,01-Feb-24,28,0,01-Feb-24,25-Feb-24,24,1,0,1,NA
F-F-1-29,F-F-1,F-F,1,01-Feb-24,29,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-30,F-F-1,F-F,1,01-Feb-24,30,0,01-Feb-24,25-Feb-24,24,0,1,1,NA
F-F-1-31,F-F-1,F-F,1,01-Feb-24,31,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-32,F-F-1,F-F,1,01-Feb-24,32,0,01-Feb-24,25-Feb-24,24,0,1,1,NA
F-F-1-33,F-F-1,F-F,1,01-Feb-24,33,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-34,F-F-1,F-F,1,01-Feb-24,34,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
F-F-1-35,F-F-1,F-F,1,01-Feb-24,35,0,01-Feb-24,25-Feb-24,24,0,0,0,NA
